Tau,SF,+-
1122.01,9.66461e-23,5.71336e-24
1124.63,1.0672e-22,5.46317e-24
1127.25,1.00691e-22,5.72073e-24
1129.87,9.83533e-23,5.63e-24
1132.49,1.00768e-22,5.58506e-24
1135.12,1.02628e-22,5.81701e-24
1137.74,1.01713e-22,5.78578e-24
1140.36,1.04385e-22,6.0901e-24
1142.98,1.06477e-22,5.80356e-24
1145.6,1.00237e-22,5.73852e-24
1148.22,9.9931e-23,5.72793e-24
1150.85,1.07813e-22,5.78455e-24
1153.47,1.06614e-22,6.21797e-24
1156.09,1.01539e-22,6.53516e-24
1158.71,1.01791e-22,5.7731e-24
1161.33,1.011e-22,6.18449e-24
1163.95,9.63984e-23,6.17969e-24
1166.57,9.96142e-23,6.07742e-24
1169.2,9.89981e-23,6.0184e-24
1171.82,9.55055e-23,6.13728e-24
1174.44,9.87922e-23,6.42829e-24
1177.06,9.66262e-23,6.11503e-24
1179.68,9.97107e-23,6.65284e-24
1182.3,1.04436e-22,6.97599e-24
1184.93,1.04932e-22,6.5796e-24
1187.55,1.03435e-22,6.75391e-24
1190.17,1.08136e-22,6.99712e-24
1192.79,1.12341e-22,6.53189e-24
1195.41,1.03791e-22,6.54339e-24
1198.03,1.05732e-22,6.98173e-24
1200.65,1.1215e-22,6.84885e-24
1203.28,1.06861e-22,6.6845e-24
1205.9,1.01308e-22,6.71323e-24
1208.52,1.06856e-22,6.82467e-24
1211.14,1.07173e-22,6.67845e-24
1213.76,1.00235e-22,6.50411e-24
1216.38,1.03817e-22,6.91269e-24
1219,1.06789e-22,6.71332e-24
1221.63,9.62943e-23,6.2181e-24
1224.25,9.74312e-23,6.27544e-24
1226.87,1.00304e-22,6.66715e-24
1229.49,9.40335e-23,6.02083e-24
1232.11,9.31591e-23,6.17784e-24
1234.73,1.01542e-22,6.28849e-24
1237.36,9.70483e-23,5.90809e-24
1239.98,9.57928e-23,6.22867e-24
1242.6,1.02949e-22,6.60173e-24
1245.22,9.92073e-23,5.79762e-24
1247.84,9.53939e-23,6.0251e-24
1250.46,1.04277e-22,6.12954e-24
1253.08,1.05019e-22,5.9036e-24
1255.71,9.96615e-23,5.89636e-24
1258.33,1.06498e-22,6.31899e-24
1260.95,1.09901e-22,6.29581e-24
1263.57,1.01704e-22,5.985e-24
1266.19,1.01871e-22,5.97404e-24
1268.81,1.11677e-22,6.48103e-24
1271.44,1.08108e-22,5.79682e-24
1274.06,9.77151e-23,5.97496e-24
1276.68,1.03782e-22,5.82755e-24
1279.3,1.01298e-22,5.86585e-24
1281.92,9.66966e-23,6.30369e-24
1284.54,9.95298e-23,6.00129e-24
1287.16,1.07335e-22,6.39153e-24
1289.79,9.3113e-23,5.96515e-24
1292.41,9.25667e-23,5.88505e-24
1295.03,9.98516e-23,5.9418e-24
1297.65,1.00855e-22,5.98107e-24
1300.27,1.00122e-22,5.8118e-24
1302.89,1.08018e-22,5.87358e-24
1305.51,1.04617e-22,5.52918e-24
1308.14,1.03885e-22,6.12692e-24
1310.76,1.0736e-22,5.83111e-24
1313.38,1.11796e-22,5.78729e-24
1316,1.11682e-22,6.23208e-24
1318.62,1.05688e-22,5.59485e-24
1321.24,1.0486e-22,5.58428e-24
1323.87,1.03261e-22,6.27596e-24
1326.49,9.74287e-23,5.44268e-24
1329.11,1.0242e-22,5.47492e-24
1331.73,1.02867e-22,6.08973e-24
1334.35,1.00694e-22,5.78296e-24
1336.97,1.03552e-22,5.55622e-24
1339.59,9.83308e-23,5.58723e-24
1342.22,9.57571e-23,5.64726e-24
1344.84,1.0331e-22,5.61717e-24
1347.46,9.95262e-23,5.46232e-24
1350.08,1.00656e-22,5.77057e-24
1352.7,1.07411e-22,5.96722e-24
1355.32,1.08397e-22,5.9015e-24
1357.95,1.13873e-22,6.78979e-24
1360.57,1.21287e-22,6.69038e-24
1363.19,1.17346e-22,6.25389e-24
1365.81,1.20144e-22,7.05403e-24
1368.43,1.16554e-22,6.47556e-24
1371.05,1.13955e-22,6.11839e-24
1373.67,1.12857e-22,6.66168e-24
1376.3,1.09864e-22,6.39476e-24
1378.92,1.12514e-22,6.29871e-24
1381.54,1.05272e-22,6.14441e-24
1384.16,1.01286e-22,5.76929e-24
1386.78,1.04477e-22,5.53564e-24
1389.4,1.08667e-22,6.06042e-24
1392.03,1.04357e-22,6.17515e-24
1394.65,1.04149e-22,6.01904e-24
1397.27,9.90267e-23,5.75471e-24
1399.89,9.97254e-23,6.15492e-24
1402.51,1.03683e-22,6.44847e-24
1405.13,9.85363e-23,6.1114e-24
1407.75,9.73601e-23,6.40004e-24
1410.38,9.82879e-23,6.13645e-24
1413,1.00022e-22,5.70815e-24
1415.62,1.01228e-22,6.31416e-24
1418.24,1.02767e-22,6.31803e-24
1420.86,1.07629e-22,6.19708e-24
1423.48,9.64816e-23,6.15387e-24
1426.1,9.54752e-23,6.15173e-24
1428.73,1.02173e-22,5.99952e-24
1431.35,1.03028e-22,6.17612e-24
1433.97,9.99221e-23,6.19067e-24
1436.59,1.01354e-22,6.26778e-24
1439.21,9.69986e-23,5.74019e-24
1441.83,1.07255e-22,6.33976e-24
1444.46,1.08245e-22,6.31843e-24
1447.08,1.07685e-22,6.0813e-24
1449.7,1.07618e-22,6.55154e-24
1452.32,1.05146e-22,6.52654e-24
1454.94,1.02811e-22,6.05645e-24
1457.56,1.01783e-22,6.56163e-24
1460.18,1.05694e-22,6.79717e-24
1462.81,1.05721e-22,6.2916e-24
1465.43,1.04319e-22,6.21195e-24
1468.05,1.02452e-22,6.6576e-24
1470.67,1.04475e-22,6.58194e-24
1473.29,1.04062e-22,6.47789e-24
1475.91,9.50474e-23,6.10607e-24
1478.54,9.90057e-23,6.18092e-24
1481.16,1.00339e-22,5.91558e-24
1483.78,9.49672e-23,5.75152e-24
1486.4,9.57375e-23,6.16063e-24
1489.02,9.05372e-23,5.29215e-24
1491.64,9.14951e-23,5.74472e-24
1494.26,9.35109e-23,6.05325e-24
1496.89,9.13691e-23,5.20716e-24
1499.51,9.46716e-23,5.79321e-24
1502.13,9.22177e-23,5.75745e-24
1504.75,9.44015e-23,5.41721e-24
1507.37,1.03889e-22,6.0047e-24
1509.99,1.02424e-22,6.44696e-24
1512.61,1.03426e-22,6.32889e-24
1515.24,1.02591e-22,5.74848e-24
1517.86,1.03947e-22,6.56656e-24
1520.48,1.16551e-22,7.58936e-24
1523.1,1.0497e-22,6.30842e-24
1525.72,1.00929e-22,6.27615e-24
1528.34,1.07215e-22,7.50526e-24
1530.97,9.29146e-23,5.89117e-24
1533.59,9.75369e-23,6.21051e-24
1536.21,1.02155e-22,6.78584e-24
1538.83,1.02052e-22,6.39166e-24
1541.45,1.01926e-22,6.54668e-24
1544.07,9.84612e-23,6.58461e-24
1546.69,9.86437e-23,5.84537e-24
1549.32,1.04966e-22,6.39336e-24
1551.94,1.05947e-22,7.001e-24
1554.56,1.07636e-22,6.88561e-24
1557.18,1.1141e-22,6.64823e-24
1559.8,1.06857e-22,6.87512e-24
1562.42,1.14334e-22,7.09588e-24
1565.05,1.11291e-22,6.60468e-24
1567.67,1.09232e-22,7.1585e-24
1570.29,1.14249e-22,7.43204e-24
1572.91,1.05665e-22,6.00677e-24
1575.53,1.04517e-22,6.4063e-24
1578.15,1.1004e-22,6.90049e-24
1580.77,1.07694e-22,6.25935e-24
1583.4,1.02539e-22,6.21147e-24
1586.02,1.01034e-22,6.47399e-24
1588.64,9.53284e-23,5.62557e-24
1591.26,9.42485e-23,5.65637e-24
1593.88,9.8978e-23,6.17073e-24
1596.5,9.44163e-23,5.59981e-24
