Tau,SF,+-
1592.23,2.33801e-21,1.47196e-22
1595.2,2.35018e-21,1.38667e-22
1598.16,2.35608e-21,1.44518e-22
1601.13,2.23919e-21,1.42417e-22
1604.09,2.25995e-21,1.39767e-22
1607.06,2.25633e-21,1.45319e-22
1610.02,2.14718e-21,1.34357e-22
1612.99,2.12133e-21,1.27235e-22
1615.95,2.09876e-21,1.18508e-22
1618.92,2.09956e-21,1.30473e-22
1621.88,2.09895e-21,1.25821e-22
1624.85,2.12684e-21,1.35698e-22
1627.81,2.14619e-21,1.41913e-22
1630.78,2.09499e-21,1.40607e-22
1633.74,2.10524e-21,1.36769e-22
1636.71,1.99177e-21,1.31383e-22
1639.67,2.01595e-21,1.34502e-22
1642.64,1.98631e-21,1.26373e-22
1645.6,2.08868e-21,1.28937e-22
1648.57,2.07685e-21,1.23241e-22
1651.53,2.07193e-21,1.33341e-22
1654.5,2.10668e-21,1.37147e-22
1657.46,2.30289e-21,1.54849e-22
1660.43,2.43926e-21,1.63862e-22
1663.39,2.73439e-21,1.83239e-22
1666.36,2.73902e-21,1.83085e-22
1669.32,2.56299e-21,1.6758e-22
1672.29,2.52921e-21,1.60162e-22
1675.25,2.50978e-21,1.6169e-22
1678.22,2.69841e-21,1.80612e-22
1681.18,3.00031e-21,2.0083e-22
1684.15,3.66094e-21,2.70205e-22
1687.11,3.70534e-21,2.69782e-22
1690.08,3.46753e-21,2.46312e-22
1693.04,3.14187e-21,2.20193e-22
1696.01,3.05312e-21,2.02883e-22
1698.97,2.81317e-21,1.8651e-22
1701.94,2.66999e-21,1.59138e-22
1704.9,2.75873e-21,1.61292e-22
1707.87,2.78846e-21,1.70007e-22
1710.83,2.75907e-21,1.73933e-22
1713.8,2.95368e-21,1.81916e-22
1716.76,3.05246e-21,1.99532e-22
1719.73,3.0973e-21,2.24659e-22
1722.69,2.89392e-21,1.9818e-22
1725.66,2.90054e-21,1.97376e-22
1728.62,2.94388e-21,2.09053e-22
1731.59,3.08441e-21,2.12301e-22
1734.55,2.78423e-21,1.87136e-22
1737.52,2.58559e-21,1.64612e-22
1740.48,2.58824e-21,1.78777e-22
1743.45,2.44456e-21,1.73096e-22
1746.41,2.48375e-21,1.61297e-22
1749.38,2.37448e-21,1.58832e-22
1752.35,2.38793e-21,1.70862e-22
1755.31,2.24482e-21,1.52854e-22
1758.28,2.12605e-21,1.3561e-22
1761.24,1.91889e-21,1.236e-22
1764.21,1.93398e-21,1.30587e-22
1767.17,1.93016e-21,1.32139e-22
1770.14,1.88418e-21,1.19314e-22
1773.1,1.83091e-21,1.20349e-22
1776.07,1.71622e-21,1.16262e-22
1779.03,1.8074e-21,1.16376e-22
1782,1.80647e-21,1.20338e-22
1784.96,1.80137e-21,1.17908e-22
1787.93,1.87827e-21,1.22411e-22
1790.89,1.97855e-21,1.22364e-22
1793.86,2.01502e-21,1.26687e-22
1796.82,2.10108e-21,1.32797e-22
1799.79,2.19352e-21,1.44453e-22
1802.75,2.24011e-21,1.45616e-22
1805.72,2.33037e-21,1.63003e-22
1808.68,2.31001e-21,1.7224e-22
1811.65,2.1705e-21,1.50821e-22
1814.61,1.91443e-21,1.33906e-22
1817.58,1.96133e-21,1.32651e-22
1820.54,2.07521e-21,1.53766e-22
1823.51,2.18968e-21,1.42558e-22
1826.47,2.15243e-21,1.45296e-22
1829.44,2.23135e-21,1.57419e-22
1832.4,2.28323e-21,1.58593e-22
1835.37,2.22197e-21,1.46035e-22
1838.33,2.3513e-21,1.63463e-22
1841.3,2.36672e-21,1.65251e-22
1844.26,2.18361e-21,1.49603e-22
