Tau,SF,+-
1288.68,3.76351e-22,2.09252e-23
1291.38,3.73755e-22,2.06429e-23
1294.07,3.95036e-22,2.37309e-23
1296.77,3.89374e-22,1.9682e-23
1299.46,3.86606e-22,2.21379e-23
1302.16,3.84294e-22,2.15133e-23
1304.86,4.08311e-22,2.15949e-23
1307.55,3.93887e-22,2.17806e-23
1310.25,3.91673e-22,2.21563e-23
1312.94,3.86715e-22,2.07445e-23
1315.64,3.75089e-22,1.8696e-23
1318.34,3.6419e-22,1.86392e-23
1321.03,3.81412e-22,1.86206e-23
1323.73,3.6056e-22,1.84636e-23
1326.42,3.70623e-22,1.92753e-23
1329.12,3.71338e-22,1.8428e-23
1331.82,3.76501e-22,1.9752e-23
1334.51,3.79748e-22,2.13561e-23
1337.21,4.01137e-22,2.07814e-23
1339.9,3.81087e-22,2.23058e-23
1342.6,3.74303e-22,1.9076e-23
1345.3,4.00362e-22,2.17217e-23
1347.99,4.01354e-22,2.19731e-23
1350.69,3.71023e-22,1.80259e-23
1353.38,3.61127e-22,1.90086e-23
1356.08,3.62344e-22,1.77079e-23
1358.78,3.8323e-22,2.01852e-23
1361.47,3.84398e-22,2.10502e-23
1364.17,3.75823e-22,1.99424e-23
1366.86,3.76832e-22,1.95639e-23
1369.56,3.87517e-22,2.24461e-23
1372.26,3.92866e-22,2.0376e-23
1374.95,3.74404e-22,2.05203e-23
1377.65,4.02562e-22,2.25988e-23
1380.34,3.76015e-22,2.02712e-23
1383.04,3.82921e-22,2.22285e-23
1385.74,4.05625e-22,2.59016e-23
1388.43,3.49218e-22,1.87012e-23
1391.13,3.72244e-22,2.17383e-23
1393.82,3.64959e-22,2.05439e-23
1396.52,3.52321e-22,1.97103e-23
1399.21,3.65074e-22,2.03804e-23
1401.91,3.65937e-22,2.09824e-23
1404.61,3.53209e-22,1.99453e-23
1407.3,3.6068e-22,1.90914e-23
1410,3.40876e-22,1.85319e-23
1412.69,3.62778e-22,1.90095e-23
1415.39,3.61461e-22,1.96644e-23
1418.09,3.56406e-22,2.01706e-23
1420.78,3.59469e-22,1.93725e-23
1423.48,3.51562e-22,1.86197e-23
1426.17,3.54439e-22,2.05396e-23
1428.87,3.6992e-22,1.9368e-23
1431.57,3.60114e-22,1.93804e-23
1434.26,3.54527e-22,1.98045e-23
1436.96,3.5833e-22,1.87629e-23
1439.65,3.77231e-22,2.16425e-23
1442.35,3.36866e-22,1.96797e-23
1445.05,3.69391e-22,2.00153e-23
1447.74,3.48893e-22,2.00691e-23
1450.44,3.4617e-22,1.96783e-23
1453.13,3.40927e-22,1.86545e-23
1455.83,3.38258e-22,1.95325e-23
1458.53,3.42406e-22,2.0376e-23
1461.22,3.60287e-22,1.97988e-23
1463.92,3.32763e-22,1.76531e-23
1466.61,3.58529e-22,1.99359e-23
1469.31,3.54729e-22,1.84849e-23
1472.01,3.3525e-22,1.7744e-23
1474.7,3.35144e-22,1.87812e-23
1477.4,3.21465e-22,1.75373e-23
1480.09,3.39266e-22,1.87462e-23
1482.79,3.51711e-22,2.03435e-23
1485.49,3.32333e-22,1.80469e-23
1488.18,3.64169e-22,2.02559e-23
1490.88,3.68687e-22,2.07718e-23
1493.57,3.76474e-22,2.07695e-23
1496.27,3.5909e-22,2.05183e-23
1498.97,3.6566e-22,2.00467e-23
1501.66,3.6642e-22,2.02382e-23
1504.36,3.57692e-22,1.97646e-23
1507.05,3.71081e-22,2.00659e-23
1509.75,3.56812e-22,2.0816e-23
1512.45,3.6073e-22,2.0634e-23
1515.14,3.68517e-22,2.10504e-23
1517.84,3.59742e-22,2.11576e-23
1520.53,3.74433e-22,1.97738e-23
1523.23,3.85764e-22,2.26975e-23
1525.93,3.87058e-22,2.21504e-23
1528.62,3.71992e-22,2.04411e-23
1531.32,3.74372e-22,2.15816e-23
1534.01,3.56359e-22,2.09782e-23
1536.71,3.85084e-22,2.1597e-23
1539.41,3.70379e-22,2.09709e-23
1542.1,3.61537e-22,2.13006e-23
1544.8,3.64178e-22,1.93347e-23
1547.49,3.80082e-22,2.12349e-23
1550.19,3.82998e-22,2.19011e-23
1552.89,3.72368e-22,1.97246e-23
1555.58,3.88591e-22,2.20002e-23
1558.28,3.61661e-22,2.12046e-23
