Tau,SF,+-
1639.23,1.56798e-22,9.42728e-24
1642.25,1.5245e-22,9.89616e-24
1645.26,1.62464e-22,9.52195e-24
1648.27,1.60923e-22,9.57284e-24
1651.29,1.64617e-22,8.91332e-24
1654.3,1.68119e-22,9.44772e-24
1657.31,1.7172e-22,8.65613e-24
1660.33,1.76747e-22,8.85427e-24
1663.34,1.79413e-22,8.54558e-24
1666.35,1.85806e-22,9.46859e-24
1669.37,1.89777e-22,9.00497e-24
1672.38,1.92435e-22,9.61697e-24
1675.39,1.93418e-22,9.08273e-24
1678.41,1.91698e-22,9.20063e-24
1681.42,1.97439e-22,9.02323e-24
1684.43,1.99307e-22,9.36818e-24
1687.45,1.9417e-22,8.64142e-24
1690.46,1.90463e-22,9.01822e-24
1693.47,1.92552e-22,8.49653e-24
1696.49,1.83931e-22,8.04925e-24
1699.5,1.993e-22,8.98878e-24
1702.51,1.93226e-22,9.37556e-24
1705.53,1.98239e-22,9.16546e-24
1708.54,1.87035e-22,9.69437e-24
1711.55,1.86765e-22,9.58634e-24
1714.56,1.73821e-22,9.84315e-24
1717.58,1.82928e-22,9.90478e-24
1720.59,1.79167e-22,1.0335e-23
1723.6,1.88158e-22,1.06558e-23
1726.62,1.79723e-22,1.02858e-23
1729.63,1.86593e-22,1.02844e-23
1732.64,1.66547e-22,9.12994e-24
1735.66,1.69257e-22,8.77519e-24
1738.67,1.58592e-22,8.19237e-24
1741.68,1.55478e-22,9.10636e-24
1744.7,1.44658e-22,8.09647e-24
1747.71,1.39743e-22,8.59401e-24
1750.72,1.36583e-22,7.90797e-24
1753.74,1.4365e-22,8.64475e-24
1756.75,1.50133e-22,8.55219e-24
1759.76,1.63508e-22,9.4927e-24
1762.78,1.56389e-22,8.77593e-24
1765.79,1.58521e-22,9.6212e-24
1768.8,1.46555e-22,8.21529e-24
1771.82,1.31849e-22,7.96388e-24
1774.83,1.3411e-22,7.91767e-24
1777.84,1.23892e-22,7.65454e-24
1780.86,1.26157e-22,7.44662e-24
1783.87,1.24779e-22,8.34672e-24
1786.88,1.29108e-22,8.32504e-24
1789.9,1.22954e-22,8.65201e-24
1792.91,1.23768e-22,7.05643e-24
1795.92,1.26527e-22,7.62157e-24
1798.94,1.33068e-22,7.67425e-24
1801.95,1.30046e-22,7.6736e-24
1804.96,1.26795e-22,7.37913e-24
1807.98,1.19662e-22,7.68103e-24
1810.99,1.11128e-22,7.16963e-24
1814,1.01745e-22,7.14117e-24
1817.02,1.03709e-22,7.05496e-24
1820.03,9.56626e-23,7.13942e-24
1823.04,1.06879e-22,6.85955e-24
1826.06,1.01641e-22,7.28342e-24
1829.07,1.04661e-22,6.73114e-24
1832.08,1.04549e-22,6.93487e-24
1835.1,1.14201e-22,6.92311e-24
1838.11,1.18399e-22,7.53813e-24
1841.12,1.14149e-22,7.09301e-24
1844.14,1.20368e-22,7.42882e-24
1847.15,1.2206e-22,7.20583e-24
1850.16,1.21459e-22,7.68741e-24
1853.18,1.26307e-22,7.73009e-24
1856.19,1.32071e-22,8.01688e-24
1859.2,1.32817e-22,7.06708e-24
1862.22,1.27883e-22,7.12822e-24
1865.23,1.21554e-22,6.43623e-24
1868.24,1.2812e-22,6.91979e-24
1871.26,1.21137e-22,6.32581e-24
1874.27,1.30921e-22,7.14332e-24
1877.28,1.36277e-22,7.36821e-24
1880.3,1.36071e-22,8.08573e-24
1883.31,1.32206e-22,7.32733e-24
1886.32,1.44088e-22,8.03596e-24
1889.34,1.37732e-22,8.09632e-24
1892.35,1.33371e-22,7.22478e-24
1895.36,1.19557e-22,6.39427e-24
1898.38,1.17098e-22,6.2125e-24
1901.39,1.12392e-22,5.27103e-24
1904.4,1.10375e-22,5.71394e-24
1907.42,1.11812e-22,5.90383e-24
1910.43,1.14518e-22,6.69691e-24
1913.44,1.18791e-22,7.03707e-24
1916.46,1.09785e-22,6.98581e-24
1919.47,1.06249e-22,7.28424e-24
1922.48,9.66682e-23,6.81415e-24
1925.5,1.03245e-22,6.95038e-24
1928.51,9.78497e-23,6.51703e-24
1931.52,1.05718e-22,6.76783e-24
1934.54,1.0422e-22,6.61863e-24
1937.55,1.18584e-22,7.1722e-24
1940.56,1.13467e-22,7.31071e-24
1943.58,1.22906e-22,7.77298e-24
1946.59,1.2643e-22,8.63282e-24
1949.6,1.13461e-22,7.5604e-24
1952.62,9.83224e-23,7.23995e-24
1955.63,8.88218e-23,6.48827e-24
1958.64,9.84115e-23,7.5093e-24
1961.66,9.28526e-23,6.07066e-24
1964.67,1.06789e-22,6.38532e-24
1967.68,1.19282e-22,6.86513e-24
1970.7,1.19622e-22,6.63051e-24
1973.71,1.18543e-22,6.54253e-24
1976.72,1.16423e-22,6.59089e-24
1979.73,1.13284e-22,6.48873e-24
1982.75,1.12314e-22,6.95662e-24
1985.76,1.09953e-22,7.11504e-24
1988.77,1.13262e-22,7.12492e-24
1991.79,1.1102e-22,7.03124e-24
1994.8,1.17734e-22,6.64953e-24
1997.81,1.28777e-22,8.24292e-24
2000.83,1.38869e-22,8.04794e-24
2003.84,1.44901e-22,9.27601e-24
2006.85,1.43877e-22,8.68984e-24
2009.87,1.30632e-22,9.32914e-24
2012.88,1.1471e-22,8.35926e-24
2015.89,1.11022e-22,9.1695e-24
2018.91,1.16664e-22,9.18538e-24
2021.92,1.12208e-22,8.59944e-24
