Time,Flux,+-
52479.057303,8.173E-11,8.428E-13
52481.10147,7.989E-11,8.726E-13
52484.07147,8.425E-11,7.872E-13
52486.244896,9.603E-11,1.059E-12
52488.219711,8.636E-11,1.124E-12
52490.272025,8.564E-11,9.393E-13
52493.304988,8.058E-11,9.442E-13
52496.003785,7.967E-11,8.267E-13
52498.77434,7.367E-11,7.758E-13
52501.213322,8.894E-11,1.038E-12
52502.137118,8.421E-11,8.751E-13
52505.235637,8.539E-11,1.027E-12
52507.280266,8.289E-11,8.749E-13
52509.457303,8.637E-11,8.2E-13
52511.9686,9.15E-11,1.382E-12
52514.151933,7.919E-11,9.355E-13
52576.815359,9.456E-11,8.322E-13
52578.794803,1.009E-10,1.036E-12
52579.708877,9.188E-11,1.037E-12
52582.671748,1.153E-10,1.044E-12
52584.3411,1.245E-10,1.171E-12
52586.035266,1.283E-10,1.329E-12
52588.865637,1.115E-10,9.082E-13
52590.974155,1.057E-10,9.59E-13
52593.363414,9.491E-11,1.002E-12
52596.899896,8.544E-11,8.607E-13
52598.477674,9.855E-11,1.312E-12
52602.893414,1.019E-10,9.688E-13
52604.682211,1.028E-10,8.95E-13
52607.569155,1.04E-10,1.278E-12
52610.605544,1.013E-10,1.167E-12
52612.580359,1.239E-10,1.243E-12
52614.350359,1.244E-10,1.598E-12
52617.31184,1.229E-10,1.5E-12
52619.882488,1.399E-10,9.79E-13
52621.737859,1.394E-10,1.4E-12
52623.829525,1.386E-10,1.462E-12
52625.673044,1.263E-10,1.289E-12
52628.767951,1.255E-10,1.342E-12
52631.667766,9.948E-11,1.366E-12
52633.509988,1.058E-10,1.027E-12
52635.485914,1.068E-10,1.483E-12
52637.926285,1.026E-10,1.188E-12
52640.559711,9.465E-11,1.132E-12
52642.220729,9.301E-11,9.822E-13
52644.694988,1.074E-10,3.736E-13
52645.426933,9.88E-11,9.164E-13
52647.155359,9.443E-11,9.214E-13
52649.26434,8.991E-11,1.037E-12
52652.086377,1.061E-10,9.965E-13
52653.741377,9.878E-11,1.018E-12
52656.098137,8.194E-11,1.306E-12
52658.328044,8.876E-11,9.797E-13
52660.763229,1.001E-10,1.082E-12
52663.534896,9.229E-11,1.018E-12
52665.831377,1.248E-10,1.073E-12
52668.812303,1.012E-10,1.057E-12
